Year,Colonizer,Decolonized state,Event
1783,Great Britain,United States,"In 1776, the Thirteen colonies of British America declare their independence a year into a general insurrection. Recognized by Great Britain in 1783 at the Treaty of Paris."
1804,France,Haiti,"After initially revolting only to restore French control, Saint-Domingue declares its independence as Haiti. Recognized by France in 1825 in exchange for a ₣150 million indemnity, financed through French banks."
1810,Spain,West Florida (today part of the United States),"West Florida declares independence, but is almost immediately annexed by the United States as part of Orleans Territory under its claims from the Louisiana Purchase. Annexation recognized by Spain in 1819."
1811,Spain,Paraguay,Paraguay achieves independence. Recognised by Spain in 1880.
1811,Spain,Venezuela,"Venezuela declares its independence. During its revolution, it joins Gran Colombia, before seceding to achieve independence in 1830."
1811,Spain,Gran Colombia (today Colombia and Panama),"Cartagena declares its independence. Cundinamarca and the United Provinces of New Granada followed suit in 1813. Briefly retaken by Spain, saved by Simon Bolivar and united as Colombia in 1821. Panama seceded 1903."
1815,Spain,Uruguay,"The Federal League declares its independence of the restored Spanish crown, after having successfully revolted against Napoleonic Spain in 1811. Attacked by Portugal, some provinces united with the future Argentina; others, after a protracted struggle, successfully formed Uruguay in 1828. Recognized by Spain in 1870."
1816,Spain,Argentina,"The United Provinces of South America formally declare their independence of the restored Spanish crown, after having successfully revolted against Napoleonic Spain in its name in 1810. Became Argentina in 1826. Recognized by Spain in 1859."
1818,Spain,Chile,"Chile declares its independence of the restored crown, after having unsuccessfully revolted against Napoleonic Spain in its name in 1810. Recognized by the Spanish in 1844."
1819,Spain,East Florida (today part of the United States),The Adams-Onís Treaty cedes Florida to the United States in exchange for US cession of its claims to Texas under the Louisiana Purchase and in exchange for settling $5 million of its residents' claims against Spain.
1821,Spain,Mexico,"Following a failed liberal insurrection in New Spain, the colony declares its independence as the Mexican Empire after a liberal mutiny succeeds in Spain. Recognised by Spain in 1836. Texas independent in 1836, annexed to the United States in 1845. Upper California and New Mexico lost to the United States in 1848."
